股票代码,股票名称,当前价,涨跌幅,市值,市盈率
CBO,CBO (Listing Market - NYSE - Networks A/E) ,5.35,429.7,3379067400,9.293
FTFT,未来金融科技集团,2.05,162.17,63585020,-0.568
PHUN,Phunware,8.88,70.11,312587180,-31.887
PD,PagerDuty,38.25,59.38,2815623160,-69.11
TUFN,Tufin软件科技,19.1,36.43,619525136,-145.36
C:TRINQ,NASDAQ SHORT TERM TRADE INDEX,1.13,34.52,0,0
VTL,生命治疗,0.7701,31.44,32628901,-0.892
FRSH,Papa Murphy's 控股,6.42,31.29,109316730,25.281
CAW,CCA工业,1.79,28.78,13347464,-4.018
IMRN,Immuron,6,23.71,21482352,-9.968
DTSS,数海信息,2.6,20.93,54454000,-35.175
FCRE,FC Global Realty,0.54,20,6646427,
BLIN,Bridgeline数字,0.239,19.56,3857761,-0.32
TRCH,炬光能源,1.78,19.46,127618640,-21.978
CTRV,Contravir,0.277,18.68,4758675,-0.266
DXF,敦信金融,3.49,16.72,72708332,13.618
ENG,ENG环球,0.635,15.45,17405291,-3.069
EVFM,Evofem Biosciences,4.0899,14.88,115157543,-0.916
VERBW,VERB TECHNOLOGY COMPANY INC C/WTS 13/03/2024 (TO PUR COM),0.7721,13.56,,
JG,极光,8.97,12.27,1056666000,-78.608
YVR,Liquid Media,3.62,12.07,6874304,-0.891
TIGR,老虎证券,17,11.77,2257375872,-52.245
PLAG,美国绿星球,4.72,11.06,14835626,-3.191
GRNQ,Greenpro Capital,2.26,10.78,123675989,-14.465
ZKIN,正康国际,2,10.5,33116074,4.719
CBK,克里斯托弗・班克斯,0.406,10.33,15563796,-0.474
STNG,Scorpio Tankers,23.72,10.33,1219136128,-6.414
OSN,奥盛创新,2.02,10.16,13326015,1.5
YOGA,Yogaworks,1.0099,10.14,16876137,-0.48
WTER,The Alkaline Water,2.47,9.78,85635342,-12.355
GURE,海湾资源,1.36,9.68,63812234,-0.912
UAMY,美国锑,0.58,9.43,39687759,48.131
CCUR,CCUR Holdings,3.38,9.39,33439111,
NSSC,纳普科安全技术,22.89,9.05,422779032,42.709
MPVD,Mountain Province,0.917163,8.95,192704331,-13.596
QRHC,Quest Resource控股,1.85,8.82,28358410,-11.627
PGNX,普罗基尼克斯制药,5.47,8.53,462447552,-6.835
NSPR,InspireMD,4.97,8.52,4473000,-0.618
WPRT,西港燃料,1.94,8.38,258973838,-8.223
YRIV,武汉长江发展,1.57,8.28,270876127,-19.748
ZYNE,Zynerba制药,8.49,8.15,178884266,-4.482
CUBI,客户合众银行,21.16,8.07,657664925,11.49
UONE,Urban One,2.1924,8.04,99532520,0.706
MTC,美美证券,4.49,7.93,88902000,-57.273
SENS,Senseonics控股,2.19,7.88,387538868,-4.124
WVVIP,维拉美特酒庄优先,4.5811,7.79,20285111,-0.045
BKEP,Blueknight,1.11,7.77,45193491,-0.678
LUB,卢比饭店,1.53,7.75,41219337,-1.16
GTYH,GTY Technology,9.59,7.63,465311547,258.95
ACER,Acer医疗,26.23,7.59,264591531,-12.433
IEA,基础设施和能源替代,4.9,7.46,108560828,-2.487
BURG,Chanticleer,1.61,7.33,6008175,-0.862
ADMP,Adamis制药,2.06,7.29,97420197,-2.498
CREX,CREATIVE REALITIES,2.22,7.25,21554114,
ASC,阿德莫尔海运,6.83,7.22,226058186,-5.265
NHLD,国家控股,3.12,7.22,39344900,-15.65
MSN,Emerson Radio,1.34,7.2,28197154,-4.928
DSSI,Diamond S Shipping,13.15,7.17,524562639,-161403.889
AIRG,Airgain,15.74,7.15,157860883,-61.084
CLBS,Caladrius生物科学,3.21,7,31941047,-1.976
MOXC,魔线,0.6097,6.96,41067686,-6.116
NVLN,Novelion,1.54,6.94,29286657,-0.27
TNK,Teekay油轮,1.08,6.93,290043240,-5.52
NETS,Netshoes,2.35,6.82,72982173,-1.648
DGSE,Dgse Companies,0.44515,6.78,11985388,13.686
YRCW,耶路全球,8.4,6.73,284287802,14.074
NEON,Neonode,3.52,6.67,30977102,-10.123
CIDM,Cinedigm数码影院,1.92,6.67,68502236,-6.647
GSUM,国双,3.55,6.61,109458535,-2.395
AVCO,Avalon Globocare,4.85,6.59,358029614,-46.054
HJLI,Hancock Jaffe实验,2.185,6.59,30956420,-1.893
XRF,信而富,1.15,6.48,75623092,-1.358
SGLB,Sigma Labs,1.49,6.43,13077177,-2.34
GWGH, Great West Growth 控股,11.6,6.42,69750464,-1.447
CHAP,Chaparral Energy,5.49,6.4,298231689,8.918
KOSS,高斯电子,2.2001,6.37,16291369,-61.268
PSTI,Pluristem,0.6376,6.27,74507751,-2.663
DOMO,Domo,39.7,6.23,1045615543,-6.312
FTEK,燃料技术,2.58,6.17,62402006,-2228.643
EMKR,埃姆科,4.13,6.17,114279025,-4.988
SNDX,Syndax制药,6.68,6.03,167004943,-2.258
MDJH,明大嘉和,3.3,6.02,38414706,-103.67
NK,NantKwest,1.41,6.02,111513705,-1.159
NM,Navios海事控股,4.25,5.99,53125000,-0.364
SOLY,Soliton,13.31,5.97,194499030,-18.358
YETI,YETI控股,32,5.96,2694274528,46.644
QUMU,Qumu,2.94,5.95,28636752,-7.917
YRD,宜人贷,15.23,5.91,924529961,6.425
SAL,Salisbury银行,42.5999,5.81,119568590,13.723
CFMS,Conformis,2.23,5.69,151454147,-3.493
